start,duration,depth,peak,end,td.max.lf,td.min.lf,td.mean.lf,td.min.lf,td.mean.lf,td.max.lf
1901-08-06 07:00:00,26,0.6,0.08,1901-08-07 09:00:00,0.417178611,-0.272718666,0.145064383037037,-0.272718666,0.145064383037037,0.417178611
1901-08-07 16:00:00,1,0.13,0.13,1901-08-07 17:00:00,0.078374272,0.025105328,0.0517398,0.025105328,0.0517398,0.078374272
1901-08-12 07:00:00,14,1.12,0.28,1901-08-12 21:00:00,-0.256693535,-0.391617786,-0.2991281502,-0.391617786,-0.2991281502,-0.256693535
1901-08-15 04:00:00,17,0.98,0.36,1901-08-15 21:00:00,-0.04997288,-0.190589578,-0.0892552266111111,-0.190589578,-0.0892552266111111,-0.04997288
1901-08-18 05:00:00,40,4.71,0.81,1901-08-19 21:00:00,0.866164406,-0.700934927,-0.045069714195122,-0.700934927,-0.045069714195122,0.866164406
1901-08-23 10:00:00,3,0.55,0.41,1901-08-23 13:00:00,0.403249187,0.355183646,0.37918141425,0.355183646,0.37918141425,0.403249187
1901-08-24 09:00:00,6,1.21,0.45,1901-08-24 15:00:00,0.390011682,0.195084699,0.293457568857143,0.195084699,0.293457568857143,0.390011682
1901-09-01 01:00:00,5,0.47,0.35,1901-09-01 06:00:00,0.594333054,0.522344552,0.558528048166667,0.522344552,0.558528048166667,0.594333054
1901-09-02 00:00:00,4,0.2,0.1,1901-09-02 04:00:00,0.570385847,0.50996771,0.540366336,0.50996771,0.540366336,0.570385847
1901-09-03 16:00:00,2,0.22,0.19,1901-09-03 18:00:00,0.380973869,0.36852944,0.374806477,0.36852944,0.374806477,0.380973869
1901-09-11 00:00:00,7,0.28,0.16,1901-09-11 07:00:00,-0.026955794,-0.040379983,-0.032917962375,-0.040379983,-0.032917962375,-0.026955794
1901-09-11 17:00:00,5,1.05,0.68,1901-09-11 22:00:00,0.00891745,-0.020288311,-0.007801097,-0.020288311,-0.007801097,0.00891745
1901-09-15 18:00:00,2,0.51,0.42,1901-09-15 20:00:00,0.29401314,0.230472526,0.262673197,0.230472526,0.262673197,0.29401314
1901-09-17 05:00:00,14,0.33,0.1,1901-09-17 19:00:00,0.03615682,-0.301139083,-0.0912336158666667,-0.301139083,-0.0912336158666667,0.03615682
1901-09-18 10:00:00,10,0.25,0.05,1901-09-18 20:00:00,-0.074022549,-0.356228022,-0.213006929818182,-0.356228022,-0.213006929818182,-0.074022549
1901-09-28 21:00:00,13,0.31,0.11,1901-09-29 10:00:00,0.498675521,0.407772751,0.469772903857143,0.407772751,0.469772903857143,0.498675521
1901-10-02 21:00:00,5,0.37,0.32,1901-10-03 02:00:00,0.268954669,0.112039979,0.1898464735,0.112039979,0.1898464735,0.268954669
1901-10-13 03:00:00,44,1.09,0.14,1901-10-14 23:00:00,0.445409875,-0.65262378,0.0144244762444444,-0.65262378,0.0144244762444444,0.445409875
1901-11-12 13:00:00,4,0.11,0.05,1901-11-12 17:00:00,-0.598996638,-0.909936122,-0.7483260528,-0.909936122,-0.7483260528,-0.598996638
1901-11-23 15:00:00,29,2.4,0.44,1901-11-24 20:00:00,1.59151654,-0.466145174,0.882393273533333,-0.466145174,0.882393273533333,1.59151654
1901-12-03 08:00:00,15,0.87,0.19,1901-12-03 23:00:00,-1.055443437,-1.428353608,-1.16546289475,-1.428353608,-1.16546289475,-1.055443437
1901-12-10 01:00:00,6,0.18,0.06,1901-12-10 07:00:00,0.025919301,-0.077671313,-0.00790975171428572,-0.077671313,-0.00790975171428572,0.025919301
1901-12-14 22:00:00,9,1.13,0.39,1901-12-15 07:00:00,1.273140141,0.440711926,0.9627813672,0.440711926,0.9627813672,1.273140141
1901-12-17 09:00:00,10,0.13,0.03,1901-12-17 19:00:00,1.653906564,1.133413345,1.37380640990909,1.133413345,1.37380640990909,1.653906564
1901-12-23 19:00:00,9,0.13,0.04,1901-12-24 04:00:00,-0.374039292,-0.606834378,-0.5071269452,-0.606834378,-0.5071269452,-0.374039292
1901-12-26 16:00:00,16,0.89,0.12,1901-12-27 08:00:00,-0.201701323,-0.620293957,-0.330226497058824,-0.620293957,-0.330226497058824,-0.201701323
1901-12-28 21:00:00,38,3.26,0.34,1901-12-30 11:00:00,1.586369182,-0.198912581,1.05167750766667,-0.198912581,1.05167750766667,1.586369182
1902-01-03 03:00:00,5,0.1,0.03,1902-01-03 08:00:00,-0.999127582,-1.487792765,-1.234649629,-1.487792765,-1.234649629,-0.999127582
1902-01-08 07:00:00,11,0.2,0.04,1902-01-08 18:00:00,0.146302487,0.101658502,0.132548659166667,0.101658502,0.132548659166667,0.146302487
