"start","duration","depth","peak","end","td.min.hf","td.mean.hf","td.max.hf"
1902-07-21 02:00:00,2,0.1,0.06,1902-07-21 04:00:00,1.145,2.11166666666667,2.946
1902-07-21 20:00:00,3,0.44,0.43,1902-07-21 23:00:00,-2.956,-2.0545,-0.554
1902-07-25 08:00:00,8,1.35,0.94,1902-07-25 16:00:00,-2.356,-0.122111111111111,2.844
1902-07-30 12:00:00,5,0.4,0.16,1902-07-30 17:00:00,-2.756,-1.47216666666667,0.046
1902-08-06 02:00:00,3,0.37,0.35,1902-08-06 05:00:00,2.346,3.21925,3.845
1902-08-06 16:00:00,4,0.47,0.43,1902-08-06 20:00:00,-0.554,1.2448,3.143
1902-08-10 09:00:00,14,1.14,0.32,1902-08-10 23:00:00,-2.756,0.371533333333333,3.245
1902-08-11 18:00:00,1,0.2,0.2,1902-08-11 19:00:00,1.844,2.244,2.644
1902-09-04 14:00:00,1,0.34,0.34,1902-09-04 15:00:00,2.244,2.595,2.946
1902-09-07 07:00:00,4,0.16,0.1,1902-09-07 11:00:00,-2.356,-0.8958,0.643
1902-09-09 06:00:00,16,0.89,0.21,1902-09-09 22:00:00,-1.755,0.892,3.045
1902-09-22 01:00:00,8,0.2,0.06,1902-09-22 09:00:00,-0.955,0.833555555555556,2.644
1902-09-24 23:00:00,7,0.25,0.15,1902-09-25 06:00:00,-2.854,-1.129875,1.145
1902-09-25 13:00:00,31,2.74,0.34,1902-09-26 20:00:00,-2.254,0.38515625,3.343
1902-09-30 20:00:00,17,1.86,0.54,1902-10-01 13:00:00,-0.755,2.36127777777778,5.046
1902-10-04 14:00:00,36,1.93,0.48,1902-10-06 02:00:00,-1.857,1.41232432432432,4.045
1902-10-11 11:00:00,23,1.53,0.28,1902-10-12 10:00:00,-2.254,0.128,2.746
1902-10-17 09:00:00,2,0.11,0.09,1902-10-17 11:00:00,-2.956,-0.988666666666667,0.745
1902-10-27 21:00:00,12,1.3,0.49,1902-10-28 09:00:00,-2.356,0.414076923076923,3.045
1902-11-06 21:00:00,9,0.23,0.07,1902-11-07 06:00:00,-2.556,-0.5151,1.745
1902-11-24 18:00:00,50,1.19,0.09,1902-11-26 20:00:00,-3.757,-0.253549019607843,3.645
1902-11-30 12:00:00,13,0.56,0.1,1902-12-01 01:00:00,-3.356,-0.505428571428571,2.044
1902-12-02 20:00:00,7,0.94,0.27,1902-12-03 03:00:00,-2.956,-0.955625,1.844
1902-12-04 22:00:00,17,0.68,0.05,1902-12-05 15:00:00,-2.756,-0.822055555555556,1.444
1902-12-11 18:00:00,5,0.12,0.06,1902-12-11 23:00:00,-4.157,-0.989333333333333,0.945
1902-12-12 18:00:00,33,0.72,0.04,1902-12-14 03:00:00,-2.956,0.221088235294118,3.045
1902-12-15 21:00:00,31,1.27,0.07,1902-12-17 04:00:00,-2.756,0.616125,3.743
1902-12-21 01:00:00,25,2.03,0.53,1902-12-22 02:00:00,-2.756,0.709846153846154,3.445
1902-12-25 02:00:00,7,0.22,0.04,1902-12-25 09:00:00,-1.257,0.419,3.143
1902-12-29 11:00:00,10,0.45,0.1,1902-12-29 21:00:00,-2.454,0.508090909090909,2.844
1903-01-02 19:00:00,18,1.17,0.29,1903-01-03 13:00:00,-3.156,-0.513210526315789,2.244
1904-01-02 22:00:00,1,0.61,0.61,1904-01-02 23:00:00,-1.257,-0.5565,0.144
1904-01-08 16:00:00,1,0.16,0.16,1904-01-08 17:00:00,0.545,1.045,1.545
1904-01-13 10:00:00,6,0.6,0.14,1904-01-13 16:00:00,-0.554,1.18828571428571,2.546
1904-01-22 14:00:00,6,0.31,0.11,1904-01-22 20:00:00,0.046,1.21628571428571,2.146
1904-01-23 06:00:00,6,0.25,0.1,1904-01-23 12:00:00,-0.755,0.816428571428571,2.346
1904-01-26 13:00:00,6,0.45,0.16,1904-01-26 19:00:00,-2.854,-1.01228571428571,1.545
1904-01-30 02:00:00,1,0.63,0.63,1904-01-30 03:00:00,-0.656,-0.356,-0.056
1904-02-19 19:00:00,1,0.46,0.46,1904-02-19 20:00:00,-1.257,-0.9565,-0.656
1904-02-22 09:00:00,3,0.11,0.08,1904-02-22 12:00:00,-0.856,-0.10575,0.643
1904-02-28 20:00:00,1,0.31,0.31,1904-02-28 21:00:00,-1.457,-1.0055,-0.554
1904-02-29 07:00:00,4,0.1,0.04,1904-02-29 11:00:00,-2.854,-0.7554,1.345
1904-02-29 20:00:00,15,0.18,0.06,1904-03-01 11:00:00,-2.654,-0.3116875,2.244
1904-03-07 09:00:00,16,1.07,0.17,1904-03-08 01:00:00,-1.857,0.521411764705882,3.045
1904-03-11 06:00:00,17,0.36,0.08,1904-03-11 23:00:00,-2.556,0.0446111111111111,2.444
1904-03-15 11:00:00,1,0.27,0.27,1904-03-15 12:00:00,0.643,1.1435,1.644
1904-03-18 09:00:00,2,0.21,0.15,1904-03-18 11:00:00,-3.255,-2.62133333333333,-1.755
1904-03-21 15:00:00,6,0.13,0.03,1904-03-21 21:00:00,-1.755,0.0304285714285715,1.243
1904-03-31 03:00:00,21,0.82,0.16,1904-04-01 00:00:00,-3.156,-0.327681818181818,2.746
1904-04-01 11:00:00,8,0.23,0.12,1904-04-01 19:00:00,-1.257,1.17788888888889,3.045
1904-04-07 01:00:00,5,0.13,0.06,1904-04-07 06:00:00,-2.654,-0.455,2.146
1904-04-08 19:00:00,6,0.33,0.11,1904-04-09 01:00:00,-1.056,0.572714285714286,1.644
1904-04-09 15:00:00,2,0.25,0.24,1904-04-09 17:00:00,-2.254,-1.98833333333333,-1.555
1904-04-12 04:00:00,3,0.1,0.08,1904-04-12 07:00:00,-2.556,-1.88075,-1.056
1904-04-26 19:00:00,18,0.64,0.18,1904-04-27 13:00:00,-3.255,0.118263157894737,2.546
1904-05-09 19:00:00,3,0.14,0.07,1904-05-09 22:00:00,-0.354,1.0705,2.146
1904-05-10 11:00:00,6,0.24,0.08,1904-05-10 17:00:00,-3.156,-0.983571428571429,1.345
1904-05-15 01:00:00,7,0.56,0.21,1904-05-15 08:00:00,-2.254,0.432625,2.746
1904-05-18 19:00:00,2,0.3,0.21,1904-05-18 21:00:00,-1.457,-0.723,-0.056
1904-05-30 18:00:00,12,0.77,0.43,1904-05-31 06:00:00,-3.556,-0.247846153846154,2.844
1904-06-05 22:00:00,4,0.29,0.15,1904-06-06 02:00:00,-2.854,-1.5748,-0.154
1904-06-07 00:00:00,3,1.25,1.09,1904-06-07 03:00:00,-2.756,-1.90625,-0.856
1904-06-07 12:00:00,6,0.54,0.51,1904-06-07 18:00:00,-2.254,-0.997857142857143,0.643
1904-06-21 15:00:00,1,0.22,0.22,1904-06-21 16:00:00,-3.255,-3.1545,-3.054
1904-06-29 04:00:00,4,0.22,0.19,1904-06-29 08:00:00,-1.457,0.1844,2.044
1904-06-30 17:00:00,2,0.1,0.08,1904-06-30 19:00:00,-0.354,0.479,1.345
1904-07-01 14:00:00,1,0.13,0.13,1904-07-01 15:00:00,-0.154,0.3955,0.945
1904-07-05 20:00:00,4,0.23,0.11,1904-07-06 00:00:00,-1.857,-0.3754,1.345
1904-07-07 14:00:00,7,1.46,1.11,1904-07-07 21:00:00,-3.556,-0.880375,2.146
